,0
GDP,0.005643198231985746
Unemployment,0.0022469306603340763
Unemployment_change,0.0013755298112169366
Bank_Rate,0.0005741841110812424
FTSE100,0.002459998770155521
FTSE_returns,0.0024402090639995652
RSI,0.004517719870545761
RSI_change,0.0022132784251948042
Inflation_lag1,0.9083081587373854
Inflation_lag2,0.026547272357156208
Inflation_lag3,0.005811938120675768
Inflation_lag6,0.0021307768107085125
Inflation_lag12,0.0029558564936780795
Inflation_momentum_3,0.012565476252780263
Inflation_momentum_6,0.011790907547993336
Rate_Unemployment,0.004165833324409622
Market_Sentiment,0.0029519709683772026
GDP_growth,0.0013007604423220561
