Date,CPI,GDP,Unemployment,RSI,Bank_Rate,FTSE100,Inflation_YoY,Inflation_lag3,Inflation_lag6
2001-07-01,73.69999999999999,497938.0,5.1,73.9,5.25,5546.899902,1.5151515151515138,1.307639366827229,1.061375173050294
2001-08-01,73.9,497938.0,5.1,74.1,5.0,5345.0,1.93103448275862,1.6483516483516425,0.6925207756232732
2001-09-01,74.1,497938.0,5.1,74.5,4.75,4785.600098,1.3679890560875485,1.6460905349794164,0.9681881051175623
2001-10-01,73.9,499278.0,5.1,75.0,4.5,5039.700195,1.025290498974707,1.5151515151515138,1.307639366827229
2001-11-01,73.8,499278.0,5.2,76.0,4.0,5203.600098,0.8196721311475308,1.93103448275862,1.6483516483516425
2001-12-01,74.0,499278.0,5.2,77.2,4.0,5217.399902,1.0928961748633892,1.3679890560875485,1.6460905349794164
2002-01-01,74.03333333333335,500794.0,5.1,76.4,4.0,5164.799805,1.4155251141552583,1.025290498974707,1.5151515151515138
2002-02-01,73.8,500794.0,5.2,77.4,4.0,5101.0,1.5130674002751032,0.8196721311475308,1.93103448275862
2002-03-01,74.1,500794.0,5.2,77.4,4.0,5271.799805,1.5068493150684814,1.0928961748633892,1.3679890560875485
2002-04-01,74.45,503433.0,5.2,78.7,4.0,5125.5,1.154891304347827,1.4155251141552583,1.025290498974707
2002-05-01,74.6,503433.0,5.2,78.1,4.0,5085.100098,0.8108108108108025,1.5130674002751032,0.8196721311475308
2002-06-01,74.6,503433.0,5.2,77.1,4.0,4685.799805,0.6747638326585648,1.5068493150684814,1.0928961748633892
2002-07-01,74.5,506386.0,5.2,78.5,4.0,4044.5,1.0854816824966251,1.154891304347827,1.4155251141552583
2002-08-01,74.6,506386.0,5.3,78.2,4.0,4227.299805,0.9472259810554551,0.8108108108108025,1.5130674002751032
2002-09-01,74.8,506386.0,5.2,78.6,4.0,3797.399902,0.9446693657219951,0.6747638326585648,1.5068493150684814
2002-10-01,74.95,509728.0,5.2,78.9,4.0,4039.699951,1.420838971583227,1.0854816824966251,1.154891304347827
2002-11-01,74.9,509728.0,5.1,79.5,4.0,4169.399902,1.4905149051490652,0.9472259810554551,0.8108108108108025
2002-12-01,75.2,509728.0,5.0,78.0,4.0,3940.399902,1.6216216216216273,0.9446693657219951,0.6747638326585648
2003-01-01,75.06666666666666,514031.0,5.1,78.3,4.0,3567.399902,1.3957676722196943,1.420838971583227,1.0854816824966251
2003-02-01,75.0,514031.0,5.2,78.4,3.75,3655.600098,1.6260162601626105,1.4905149051490652,0.9472259810554551
2003-03-01,75.3,514031.0,5.1,78.7,3.75,3684.800049,1.6194331983805599,1.6216216216216273,0.9446693657219951
2003-04-01,75.5,518802.0,5.0,78.8,3.75,3880.100098,1.410342511752849,1.3957676722196943,1.420838971583227
2003-05-01,75.5,518802.0,4.9,78.8,3.75,4048.100098,1.2064343163538993,1.6260162601626105,1.4905149051490652
2003-06-01,75.4,518802.0,5.1,80.0,3.75,3963.899902,1.0723860589812562,1.6194331983805599,1.6216216216216273
2003-07-01,75.44999999999999,524213.0,5.1,80.4,3.5,4098.399902,1.2751677852348875,1.410342511752849,1.3957676722196943
2003-08-01,75.6,524213.0,5.0,80.2,3.5,4204.399902,1.3404825737265424,1.2064343163538993,1.6260162601626105
2003-09-01,75.9,524213.0,5.0,81.1,3.5,4169.200195,1.4705882352941346,1.0723860589812562,1.6194331983805599
2003-10-01,76.0,528320.0,4.9,81.1,3.5,4287.600098,1.4009339559706513,1.2751677852348875,1.410342511752849
2003-11-01,75.9,528320.0,4.9,81.0,3.75,4342.600098,1.3351134846461887,1.3404825737265424,1.2064343163538993
2003-12-01,76.2,528320.0,4.8,81.1,3.75,4476.899902,1.3297872340425565,1.4705882352941346,1.0723860589812562
2004-01-01,76.06666666666666,529996.0,4.8,82.4,3.75,4390.700195,1.3321492007104752,1.4009339559706513,1.2751677852348875
2004-02-01,76.0,529996.0,4.8,81.9,4.0,4492.200195,1.333333333333342,1.3351134846461887,1.3404825737265424
2004-03-01,76.1,529996.0,4.8,82.3,4.0,4410.700195,1.0624169986719778,1.3297872340425565,1.4705882352941346
2004-04-01,76.45,532543.0,4.8,82.8,4.0,4489.700195,1.2582781456953684,1.3321492007104752,1.4009339559706513
2004-05-01,76.6,532543.0,4.8,83.0,4.25,4422.700195,1.4569536423840956,1.333333333333342,1.3351134846461887
2004-06-01,76.6,532543.0,4.8,83.8,4.5,4424.700195,1.591511936339507,1.0624169986719778,1.3297872340425565
2004-07-01,76.5,534447.0,4.7,83.7,4.5,4413.100098,1.3916500994035852,1.2582781456953684,1.3321492007104752
2004-08-01,76.6,534447.0,4.7,83.9,4.75,4502.100098,1.3227513227513255,1.4569536423840956,1.333333333333342
2004-09-01,76.7,534447.0,4.7,84.3,4.75,4659.700195,1.0540184453227797,1.591511936339507,1.0624169986719778
2004-10-01,77.0,536886.0,4.7,84.2,4.75,4624.200195,1.3157894736842035,1.3916500994035852,1.2582781456953684
2004-11-01,77.0,536886.0,4.7,83.9,4.75,4703.200195,1.4492753623188248,1.3227513227513255,1.4569536423840956
2004-12-01,77.4,536886.0,4.7,83.7,4.75,4814.299805,1.5748031496062964,1.0540184453227797,1.591511936339507
2005-01-01,77.46666666666665,541028.0,4.8,83.7,4.75,4852.299805,1.8404907975460016,1.3157894736842035,1.3916500994035852
